userID,artistIDs
1155.0,1959 1956 1953 1948 3698
1156.0,173 227 159 418 533
1157.0,488 978 377 1854 1672
1158.0,830 808 1188 1185 1541
1159.0,812 2006 198 841 190
1160.0,816 779 687 1246 536
1161.0,2103 1923 8394 8396 8397
1163.0,1001 1014 99 227 441
1164.0,1713 59 159 1072 238
1165.0,234 163 1412 511 706
1166.0,1713 159 51 59 1072
1167.0,5346 5360 5342 9356 9357
1170.0,229 300 190 333 1400
1171.0,300 302 466 349 291
1172.0,917 957 944 928 707
1173.0,159 599 51 227 1001
1174.0,2787 2790 1360 1369 176
1176.0,498 486 497 536 1853
1177.0,12030 4747 7249 8728 12029
1178.0,461 288 89 325 701
1179.0,288 333 302 67 679
1180.0,289 300 292 701 466
1181.0,3294 13672 3411 14941 59
1182.0,756 6151 2676 772 1965
1183.0,830 1868 1195 4774 815
1184.0,701 333 461 349 291
1185.0,89 288 300 292 67
1186.0,461 333 306 299 352
1187.0,154 599 212 199 4079
1188.0,67 466 306 701 333
1189.0,288 300 291 325 679
1190.0,1398 207 424 229 1090
1191.0,1412 959 234 190 65
1192.0,154 868 190 917 562
1193.0,1987 3625 13026 15997 15998
1194.0,4918 4927 190 1098 4917
1195.0,2402 440 6910 13463 433
1196.0,1249 227 706 1412 868
1197.0,295 300 461 349 291
1198.0,288 295 701 67 344
1199.0,735 212 1412 562 959
1200.0,959 868 234 424 173
1202.0,997 1013 1892 1886 1713
1204.0,744 772 1222 2671 7493
1205.0,4109 16412 16413 11732 11734
1206.0,917 1360 918 2342 2347
1207.0,2003 188 944 918 707
1209.0,997 998 193 1001 999
1210.0,99 1014 59 1886 100
1211.0,441 159 72 429 2938
