userID,artistIDs
485.0,227 163 632 1412 1119
486.0,89 466 349 461 291
487.0,288 289 325 344 686
488.0,533 65 228 709 163
489.0,163 1369 1249 917 1415
490.0,300 466 333 292 288
491.0,841 1372 2342 724 1257
492.0,154 2639 2636 599 1416
493.0,1072 51 187 1001 173
494.0,288 300 466 295 302
495.0,288 89 67 466 302
496.0,72 227 599 234 511
497.0,289 461 349 299 291
498.0,466 291 333 461 320
499.0,159 1713 59 173 599
500.0,772 2669 2671 756 2677
501.0,289 300 466 306 318
502.0,67 466 701 461 257
503.0,466 461 333 306 302
504.0,288 292 461 295 302
506.0,1302 1334 1321 1335 1336
507.0,5245 5240 5243 5246 5248
508.0,3146 5850 9833 9836 9843
509.0,966 486 2941 500 209
510.0,300 89 289 292 333
511.0,227 190 207 225 418
512.0,377 488 198 497 500
513.0,154 424 227 190 217
514.0,289 295 291 306 55
515.0,74 78 79 83 87
516.0,498 377 486 333 289
517.0,622 440 199 418 618
518.0,333 302 299 291 325
519.0,707 1369 841 1360 843
520.0,59 51 1001 153 75
521.0,498 412 540 4262 816
523.0,16939 16940 227 6609 7827
525.0,779 1672 488 486 1200
526.0,234 1672 227 917 163
527.0,289 306 333 701 679
529.0,1372 1412 1425 706 2787
530.0,154 238 65 190 1098
531.0,686 291 349 318 257
532.0,209 470 537 1043 1040
533.0,2047 2054 2067 2045 6250
534.0,89 55 302 333 461
535.0,289 288 300 295 67
536.0,295 466 461 302 306
537.0,288 461 295 333 302
538.0,292 67 349 325 257
