userID,artistIDs
432.0,1180 209 412 537 230
433.0,18465 18466 18467 18468 18470
434.0,154 227 418 199 72
435.0,816 1868 1180 2210 2959
436.0,227 154 599 159 163
437.0,288 300 292 295 701
438.0,4875 44 1323 1294 49
439.0,2226 2909 2924 1952 248
440.0,154 616 418 3694 622
441.0,154 190 207 173 424
442.0,51 998 997 72 993
443.0,2300 2330 9064 15562 17978
444.0,3536 11086 11089 11090 11091
446.0,193 993 75 997 1013
447.0,5360 767 11521 11523 11524
449.0,1358 918 1360 959 841
450.0,868 707 735 1358 918
451.0,461 302 679 325 291
452.0,993 1014 193 1013 72
453.0,599 207 65 424 533
454.0,3530 2043 2486 10164 12504
455.0,72 154 226 436 1131
456.0,300 461 289 466 498
457.0,917 936 937 378 928
458.0,377 89 227 300 173
459.0,234 1104 1044 176 517
460.0,227 190 81 65 1121
461.0,159 190 51 533 1384
462.0,163 434 441 72 4079
463.0,4918 2446 4923 72 13031
464.0,207 154 227 1048 432
465.0,227 173 225 1048 1515
466.0,288 701 55 291 498
467.0,8769 8770 8771 8773 8774
468.0,227 9749 9752 9753 13352
469.0,918 1358 1412 930 920
470.0,292 89 349 299 325
471.0,163 533 706 234 190
472.0,292 461 701 67 302
473.0,289 67 55 701 302
474.0,1713 159 51 59 1072
475.0,190 154 1048 173 1400
476.0,65 228 716 709 429
477.0,289 291 310 679 325
478.0,4831 4834 4839 5640 5641
479.0,89 466 294 310 325
480.0,68 994 72 1892 1885
481.0,288 67 466 333 701
482.0,154 65 207 89 424
484.0,1788 1713 3049 3837 154
