userID,artistIDs
1501.0,4002 823 831 1541 4000
1502.0,154 59 238 173 70
1503.0,72 226 173 436 7
1504.0,1408 16062 16063 6053 6047
1505.0,993 1061 99 190 511
1506.0,227 207 1090 424 441
1507.0,276 2252 2236 3227 2915
1508.0,173 228 225 709 425
1509.0,288 466 292 486 302
1511.0,701 325 55 318 686
1513.0,154 207 227 425 533
1514.0,998 1713 1072 159 1013
1515.0,292 289 300 461 349
1516.0,89 292 295 466 333
1517.0,289 89 701 67 349
1518.0,154 227 441 203 2531
1519.0,498 89 300 230 227
1520.0,300 289 288 67 229
1521.0,89 302 325 306 67
1522.0,154 533 424 599 203
1524.0,227 190 207 234 229
1525.0,302 306 318 679 349
1527.0,424 1090 190 1390 1515
1528.0,701 306 67 302 257
1530.0,234 227 917 959 918
1531.0,1360 1531 4266 1261 917
1532.0,295 67 466 299 306
1533.0,701 299 302 67 349
1534.0,227 154 190 1412 707
1535.0,300 289 466 288 292
1536.0,917 1369 843 1527 1364
1537.0,1681 4474 1045 4823 6121
1538.0,154 207 1090 225 72
1539.0,424 228 1048 154 533
1540.0,292 295 466 67 461
1541.0,187 1013 193 999 100
1542.0,51 159 998 1001 59
1543.0,1349 1339 944 942 4319
1544.0,300 288 498 295 302
1545.0,190 207 1090 173 533
1546.0,227 228 533 225 1400
1547.0,154 424 190 65 1090
1549.0,229 533 190 154 65
1551.0,4874 515 72 30 1066
1552.0,295 289 292 89 300
1553.0,89 300 292 295 498
1554.0,227 1412 706 959 212
1555.0,295 701 89 466 461
1556.0,506 163 3272 1110 3405
1557.0,2691 2675 11128 2672 2174
