userID,artistIDs
157.0,707 732 724 1249 1803
158.0,289 300 288 292 89
159.0,295 289 89 55 300
161.0,5670 2 1292 1300 3196
162.0,289 288 292 300 349
163.0,2445 2437 2443 3760 3761
164.0,227 854 982 190 163
166.0,154 599 441 203 72
168.0,6910 2139 1961 418 1954
170.0,846 198 1274 1360 854
171.0,227 207 424 418 199
172.0,227 229 65 1090 173
173.0,207 234 65 229 228
174.0,228 190 227 154 533
175.0,3588 2447 2445 3609 3589
176.0,159 599 190 229 65
177.0,707 706 868 735 918
178.0,152 1369 918 163 920
179.0,300 295 466 701 302
180.0,12 9223 14907 14909 14911
181.0,154 4896 72 7 229
182.0,89 289 288 300 292
183.0,51 599 227 173 441
184.0,65 227 229 81 425
185.0,3912 3922 16599 16600 16601
186.0,288 461 295 701 325
187.0,59 1001 99 1014 100
189.0,198 209 1672 488 220
190.0,10436 14525 14526 14527 14528
191.0,159 59 1001 1061 173
192.0,8293 6014 4942 15044 15045
193.0,88 1396 227 154 1409
194.0,418 81 227 190 65
195.0,207 599 562 234 1090
196.0,154 533 163 229 228
198.0,816 815 805 517 507
200.0,959 1369 707 1372 868
201.0,159 51 1713 59 173
202.0,917 1358 1369 1360 841
203.0,779 377 500 498 1672
204.0,10564 8934 13967 13968 13969
205.0,759 2720 12412 12413 4891
206.0,207 190 1090 424 234
207.0,300 289 288 292 295
208.0,918 954 3509 1261 947
209.0,89 466 701 302 257
210.0,51 59 1061 154 599
211.0,159 75 59 1001 187
212.0,1339 1355 922 918 924
213.0,198 843 227 154 2379
